epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1377.12,0.92683,3.01268,1.29447,0.82979,0.20143,0.34406,0.23228,0.97668,3.84033,1.36804,0.000366077,0.000366077,0.000366077
2,2691.81,0.98687,2.04577,1.31826,0.79823,0.43413,0.42313,0.28179,1.12759,2.92449,1.5488,0.000699958,0.000699958,0.000699958
3,4044.62,1.01341,1.89998,1.33223,0.78842,0.46491,0.48906,0.35034,1.00122,2.20992,1.45326,0.000997176,0.000997176,0.000997176
4,5340.32,0.99138,1.60765,1.29215,0.62935,0.43884,0.4634,0.324,1.00243,2.00323,1.37635,0.000946016,0.000946016,0.000946016
5,6647.56,0.98461,1.47336,1.29029,0.8368,0.42407,0.50473,0.35918,1.00907,1.86516,1.42512,0.000891022,0.000891022,0.000891022
6,7937.42,0.95702,1.32046,1.27668,0.7856,0.51252,0.53781,0.39256,0.96459,1.59446,1.37713,0.000836027,0.000836027,0.000836027
7,10352.3,0.91014,1.21904,1.25606,0.83485,0.50205,0.56207,0.41377,0.91993,1.35839,1.37596,0.000781033,0.000781033,0.000781033
8,12321.2,0.90293,1.13792,1.24811,0.75391,0.60813,0.59862,0.43792,0.88307,1.19301,1.33474,0.000726038,0.000726038,0.000726038
9,13668.2,0.88159,1.05668,1.23742,0.75796,0.56856,0.58059,0.43178,0.87944,1.22501,1.32741,0.000671044,0.000671044,0.000671044
10,14980.9,0.83851,1.03829,1.19983,0.79595,0.56399,0.58759,0.44981,0.85643,1.10084,1.29831,0.000616049,0.000616049,0.000616049
11,16214.9,0.76671,0.99777,1.19351,0.76125,0.56121,0.56774,0.42894,0.8717,1.12385,1.29906,0.000561055,0.000561055,0.000561055
12,17545.3,0.74243,0.91985,1.16281,0.77262,0.53342,0.54932,0.41717,0.85731,1.14318,1.27468,0.00050606,0.00050606,0.00050606
13,18797.3,0.72617,0.86054,1.15764,0.80872,0.59612,0.61889,0.47204,0.79799,0.95434,1.23688,0.000451066,0.000451066,0.000451066
14,20067.9,0.70194,0.81864,1.12789,0.76111,0.59493,0.59723,0.46413,0.77279,0.95699,1.20876,0.000396071,0.000396071,0.000396071
15,21306.3,0.66902,0.77471,1.11047,0.85699,0.5826,0.62738,0.47609,0.80068,0.94848,1.22756,0.000341077,0.000341077,0.000341077
16,22537,0.65317,0.72936,1.08782,0.76234,0.64558,0.63322,0.48971,0.74846,0.84562,1.202,0.000286083,0.000286083,0.000286083
17,23764.5,0.64374,0.69958,1.09747,0.82843,0.60095,0.63504,0.49526,0.75789,0.83988,1.20664,0.000231088,0.000231088,0.000231088
18,25577.4,0.6128,0.66784,1.07875,0.82308,0.62174,0.63242,0.50445,0.73973,0.82122,1.18923,0.000176094,0.000176094,0.000176094
19,26816.3,0.59747,0.64801,1.06062,0.83849,0.62336,0.65009,0.50974,0.73186,0.79943,1.19158,0.000121099,0.000121099,0.000121099
20,28089.6,0.57815,0.61103,1.05809,0.842,0.60896,0.63785,0.50951,0.72767,0.81954,1.17724,6.61045e-05,6.61045e-05,6.61045e-05
